EmpID,Age,GenderCode,AgeRange,CountryID,NoEmployees,NoEmployeesRange,SelfEmployed,FamilyHistory,Treatment,WorkInterfere,RemoteWork,TechCompany,Benefits,CareOptions,WellnessProgram,SeekHelp,Anonymous,Leave,MentalHealthConsequences,PhysicalHealthConsequences,Coworkers,Supervisor,MentalHealthInterview,PhysicalHealthInterview,MentalVsPhysical,ObsConsequences
161,36,0,2,45,More than 1000,5,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes
162,25,1,1,46,500-1000,4,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
163,31,0,2,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,No,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
164,26,0,1,46,6-25,1,No,Yes,No,Rarely,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
165,33,1,2,46,1-5,0,Yes,Yes,Yes,Sometimes,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No
166,27,1,1,45,1-5,0,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
167,34,0,2,46,26-100,2,No,No,No,Never,No,Yes,No,No,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
168,42,0,2,46,6-25,1,No,No,No,,No,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
169,23,0,1,22,1-5,0,Yes,Yes,No,Sometimes,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
170,24,0,1,45,100-500,3,No,No,No,Rarely,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
171,26,0,1,45,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No
172,31,0,2,45,6-25,1,Yes,No,Yes,Often,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
173,22,0,1,21,More than 1000,5,No,No,Yes,Never,No,Yes,Don't know,Not sure,No,No,Don't know,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No
174,23,1,1,46,6-25,1,No,No,No,,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
175,34,1,2,8,More than 1000,5,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No
176,31,0,2,46,26-100,2,No,No,No,Never,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
177,28,0,1,45,100-500,3,No,No,No,,No,No,No,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
178,32,1,2,46,6-25,1,No,No,Yes,Often,Yes,Yes,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes
179,45,1,2,46,1-5,0,No,No,Yes,Sometimes,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No
180,33,0,2,46,6-25,1,No,No,No,,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No
181,29,0,1,27,6-25,1,No,No,No,Never,Yes,Yes,No,No,No,No,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes,No,No
182,26,1,1,21,6-25,1,Yes,No,No,Sometimes,No,No,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
183,28,1,1,45,26-100,2,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
184,45,0,2,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
185,43,0,2,46,More than 1000,5,No,Yes,Yes,Often,Yes,Yes,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No
186,37,0,2,46,500-1000,4,No,No,No,,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,Some of them,No,Maybe,Yes,No,No
187,24,0,1,45,6-25,1,No,No,No,Sometimes,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No
188,26,0,1,16,6-25,1,No,No,No,,Yes,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No
189,23,0,1,45,1-5,0,No,Yes,No,,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
190,35,1,2,46,More than 1000,5,No,Yes,Yes,Never,No,Yes,Yes,Not sure,Don't know,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No
191,38,1,2,40,1-5,0,Yes,Yes,Yes,Often,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes
192,28,0,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No
193,28,0,1,37,26-100,2,No,No,No,Sometimes,No,Yes,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No
194,35,0,2,46,6-25,1,No,No,Yes,Rarely,No,Yes,No,No,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
195,32,1,2,18,100-500,3,No,No,No,Sometimes,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes
196,31,0,2,24,6-25,1,Yes,Yes,No,Never,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
197,35,1,2,46,500-1000,4,No,No,No,Never,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No
198,26,0,1,46,More than 1000,5,No,No,No,Rarely,No,Yes,Yes,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
199,27,0,1,46,6-25,1,No,Yes,No,,Yes,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No
200,28,0,1,45,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
201,27,1,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Yes,No
202,34,1,2,46,500-1000,4,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No
203,41,0,2,46,6-25,1,No,No,Yes,Often,Yes,Yes,No,Not sure,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
204,37,0,2,22,1-5,0,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,No,No,No,No,Yes,Don't know,No
205,34,0,2,2,100-500,3,No,Yes,No,,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No
206,32,0,2,45,100-500,3,No,Yes,Yes,Sometimes,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes
207,21,0,1,8,6-25,1,No,No,Yes,Sometimes,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
208,30,0,1,46,26-100,2,No,No,Yes,Often,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No
209,24,0,1,46,26-100,2,No,No,No,Never,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
210,26,0,1,7,100-500,3,No,No,No,,No,Yes,No,No,No,No,No,Very easy,Yes,Maybe,No,No,No,Maybe,Don't know,No
211,40,1,2,46,26-100,2,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
212,37,0,2,45,26-100,2,No,Yes,No,Sometimes,No,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,Don't know,No
213,26,0,1,45,1-5,0,Yes,No,Yes,Often,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
214,32,1,2,46,6-25,1,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,No,No,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes
215,32,1,2,46,100-500,3,No,No,Yes,Sometimes,No,No,Yes,Yes,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
216,27,1,1,46,1-5,0,Yes,Yes,Yes,Sometimes,Yes,Yes,No,No,Don't know,Don't know,Don't know,Very difficult,No,No,Some of them,No,No,No,Don't know,No
217,30,0,1,18,6-25,1,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No
218,31,0,2,8,6-25,1,Yes,No,No,,No,Yes,Yes,Yes,No,Don't know,Yes,Very easy,No,No,Some of them,Some of them,No,No,Yes,No
219,29,1,1,46,500-1000,4,No,No,Yes,Never,No,No,Yes,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,Don't know,No
220,41,0,2,46,26-100,2,No,No,No,,No,Yes,Yes,Not sure,No,No,Don't know,Very easy,Yes,No,No,Some of them,No,No,Don't know,No
221,34,1,2,46,6-25,1,No,No,No,,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
222,33,0,2,45,26-100,2,No,No,No,,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No
223,28,0,1,46,6-25,1,No,No,No,Rarely,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No
224,28,0,1,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No
225,23,0,1,46,26-100,2,No,No,No,Never,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No
226,24,0,1,46,1-5,0,No,No,No,,No,Yes,Don't know,No,Don't know,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
227,32,0,2,46,1-5,0,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No
228,34,0,2,1,1-5,0,Yes,No,No,Sometimes,Yes,Yes,Don't know,Not sure,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No
229,24,0,1,46,6-25,1,No,No,No,Never,No,Yes,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No
230,26,0,1,45,1-5,0,Yes,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
231,36,0,2,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes
232,41,0,2,46,500-1000,4,No,No,Yes,Rarely,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No
233,38,0,2,45,More than 1000,5,No,No,Yes,Sometimes,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
234,38,0,2,46,26-100,2,No,No,No,Sometimes,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No
235,30,0,1,29,26-100,2,No,No,No,,No,Yes,Don't know,No,Don't know,Don't know,Yes,Somewhat easy,No,No,Some of them,Some of them,No,No,Yes,No
236,25,0,1,45,26-100,2,No,No,No,Never,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No
237,37,0,2,8,26-100,2,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No
238,34,0,2,45,6-25,1,No,Yes,No,,No,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes
239,37,1,2,46,More than 1000,5,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
240,28,1,1,8,6-25,1,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,No,Yes
241,22,0,1,42,6-25,1,No,No,No,,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No
242,34,0,2,46,1-5,0,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
243,33,0,2,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
244,25,0,1,40,6-25,1,No,No,No,,No,Yes,No,No,No,No,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No
245,27,0,1,46,More than 1000,5,No,No,No,Never,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
246,40,0,2,46,More than 1000,5,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe,No,No,No,Maybe,No,Yes
247,21,0,1,46,6-25,1,No,No,Yes,Often,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No
248,29,0,1,45,6-25,1,No,No,No,,No,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
249,32,0,2,46,1-5,0,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Yes,Don't know,No
250,29,1,1,46,500-1000,4,No,Yes,Yes,Rarely,Yes,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Maybe,No,Some of them,No,Maybe,Yes,Don't know,No
251,23,0,1,46,26-100,2,No,Yes,Yes,Sometimes,Yes,No,Don't know,No,No,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No
252,28,0,1,46,100-500,3,No,Yes,No,,No,Yes,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes
253,31,0,2,46,100-500,3,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
254,27,0,1,45,100-500,3,No,No,No,,No,No,Don't know,Not sure,Don't know,Don't know,No,Very easy,Maybe,Maybe,Yes,Yes,No,No,Don't know,No
255,24,0,1,46,6-25,1,No,No,No,Sometimes,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
256,29,0,1,8,6-25,1,No,No,No,Often,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No
257,23,1,1,45,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No
258,42,0,2,46,6-25,1,No,No,No,Never,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
259,24,0,1,45,1-5,0,No,No,No,,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Yes,No,No
260,25,0,1,1,6-25,1,No,Yes,Yes,Often,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes
261,27,1,1,46,6-25,1,No,No,Yes,Rarely,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,Maybe,Yes,No,No,Maybe,Don't know,No
262,27,0,1,8,6-25,1,No,No,No,Sometimes,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
263,30,0,1,46,100-500,3,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe,No,Yes,No
264,29,0,1,34,6-25,1,No,Yes,Yes,Rarely,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,Some of them,No,Yes,No,No
265,43,0,2,8,6-25,1,Yes,No,No,,Yes,Yes,No,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,Yes,Don't know,No
266,32,0,2,46,6-25,1,No,No,No,,No,Yes,No,Yes,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Don't know,No
267,41,0,2,46,26-100,2,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
268,32,0,2,45,1-5,0,Yes,Yes,Yes,Sometimes,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes
269,37,1,2,46,26-100,2,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No
270,32,0,2,46,6-25,1,No,No,No,Never,Yes,Yes,No,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,No,Don't know,No
271,30,0,1,22,1-5,0,Yes,No,No,Sometimes,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,No,No
272,23,1,1,46,100-500,3,No,Yes,Yes,Never,No,No,Yes,No,Don't know,Don't know,Yes,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
273,30,0,1,46,More than 1000,5,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No
274,34,0,2,45,26-100,2,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,Yes,Some of them,No,No,Don't know,No
275,38,0,2,46,26-100,2,No,No,Yes,Rarely,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No
276,33,0,2,8,100-500,3,No,No,No,,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
277,34,0,2,46,26-100,2,No,No,No,,No,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
278,28,0,1,10,6-25,1,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No
279,28,0,1,46,100-500,3,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,No,Yes,No
280,23,0,1,46,100-500,3,No,Yes,No,Sometimes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No
281,22,0,1,1,6-25,1,Yes,Yes,Yes,Sometimes,Yes,Yes,Don't know,Not sure,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,No,Yes
282,27,0,1,35,6-25,1,No,No,No,Never,No,Yes,No,No,No,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
283,18,0,0,46,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
284,35,0,2,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,Don't know,No
285,25,0,1,8,100-500,3,No,No,No,,No,No,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Yes,No,No
286,27,0,1,45,6-25,1,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No
287,26,1,1,46,More than 1000,5,No,Yes,Yes,Rarely,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
288,18,0,0,46,26-100,2,No,No,No,Never,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
289,38,1,2,46,1-5,0,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Don't know,Don't know,No,Maybe,Some of them,No,No,No,Don't know,Yes
290,26,1,1,46,More than 1000,5,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No
291,30,0,1,43,1-5,0,Yes,No,No,Never,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
292,35,0,2,46,More than 1000,5,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
293,45,0,2,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
294,32,0,2,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
295,56,0,2,46,More than 1000,5,No,No,Yes,Never,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No
296,24,1,1,46,500-1000,4,No,No,No,,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,No,No
297,30,1,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
298,60,0,2,46,More than 1000,5,No,No,No,,No,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
299,33,0,2,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
300,37,0,2,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
301,23,1,1,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Yes,No
302,31,1,2,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
303,26,0,1,46,100-500,3,No,No,No,Rarely,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No
304,28,1,1,46,100-500,3,No,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No
305,37,1,2,46,More than 1000,5,No,No,Yes,Rarely,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
306,26,0,1,8,6-25,1,No,Yes,Yes,Often,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No
307,30,1,1,46,26-100,2,No,Yes,Yes,Rarely,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No
308,26,0,1,46,26-100,2,No,No,No,,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes
309,25,0,1,46,26-100,2,No,No,No,,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
310,27,0,1,46,100-500,3,No,No,No,Sometimes,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
311,25,0,1,8,6-25,1,No,No,Yes,Often,Yes,No,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Don't know,No
312,35,0,2,46,100-500,3,No,No,Yes,Rarely,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
313,36,0,2,46,1-5,0,Yes,No,Yes,Never,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No
314,26,0,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,No,No,No
315,27,0,1,46,More than 1000,5,No,Yes,No,,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
316,30,0,1,46,6-25,1,No,No,No,,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
317,29,0,1,46,100-500,3,No,No,No,,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No
318,25,0,1,46,More than 1000,5,No,No,No,Never,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
319,22,1,1,46,More than 1000,5,No,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes
320,29,0,1,26,26-100,2,No,No,No,,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
321,41,0,2,46,100-500,3,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
